Machine_ID,RPM,Temperature_C,Vibration_mm_s,Oil_Quality_Index,Pressure_bar,Shaft_Misalignment_deg,Noise_dB,Load_%,Ambient_Temp_C,Humidity_%,Power_kW,Maintenance_Score,Operating_Hours,Fault
M4,1521,77.98752908365687,1.632913100610752,65.2129428699826,6.146027575013415,0.4663230155054295,65.4476829153832,71.62796618099912,17.513838027579133,50.15392328675223,51.86826702810574,8,6566,0
M5,1645,67.48208949904816,2.0409977782067803,75.73767353106804,2.162493558602621,0.43479750083663016,71.82703885999987,84.95030309735837,28.6325581116803,28.281686995274747,48.68712170342189,7,8913,0
M3,1596,70.73642403794457,2.2286402023076204,97.92144292815406,4.983389657674091,0.5780732388790751,52.80639949471565,56.870314700527274,28.468530562680925,50.270604268730175,56.40691699061817,6,5190,0
M5,1544,86.48445709196756,2.7279111610733833,93.41970781360808,4.894181242502302,0.46921895460506247,58.873686787543235,73.93975225864402,32.92247187578529,33.521277103534786,40.55148258189227,2,4340,1
M5,1341,76.13270410537764,2.3522532699123615,59.407108227784036,4.546363612408317,0.43592298811264113,48.10784170063336,61.977281660654796,21.04991451592396,43.624498815945266,47.89434882599458,6,9112,0
M2,1594,60.61722021682633,2.3945283436877594,85.27219850528303,6.726226545635632,0.14412021389855584,60.96325766324012,64.95366257710765,28.464076051504613,34.90106047134367,52.239653663864736,2,511,0
M3,1876,84.19228934575203,2.0419133139646806,50.326621259377845,4.112670541144229,0.3120064341699867,61.826971209625704,61.96889166046685,23.581466358176343,41.82170627712102,52.28612405974672,1,8405,0
M3,1769,68.31855914461006,2.705229572601752,80.70402353090554,5.771796177235661,0.5953302081601115,59.8041894227862,62.68142691584114,30.952374925967412,48.918776345702746,56.763795153073815,9,2546,0
M3,1818,93.73297776217545,2.2048813979797486,108.46650525118966,5.356252788706083,0.843181526226539,56.727332145008454,97.21912147906494,30.109813883390707,27.72985922711464,55.99112696600643,5,3446,0
M5,1397,85.80048065714648,1.5694560449132147,65.78160924096521,6.261519252535516,0.4804949232508753,49.75242741905838,78.44455872071666,26.056046996122284,33.20094103253169,48.57229187346388,10,185,0
M4,1302,70.52678104341248,2.7016849850625952,67.48515431762627,4.3328109152224945,0.5655622147148247,61.867668417058844,81.0173786178621,23.302349216670066,41.84962587342087,56.49935621765302,10,7849,1
M3,1474,87.81016361735112,2.348951636269514,91.4604467235929,4.267031100876241,0.690495631390561,67.27717241957663,74.91993486836496,29.80466089304131,64.01583661030352,46.42979128111273,4,4242,0
M5,1511,75.67855510527403,1.7784779894357587,56.85797727185531,6.096069907477398,0.33782121275995003,57.04490772133284,53.93743211598042,28.234522616282828,31.36810287833172,54.65443691395919,8,7187,0
M2,1718,83.52773675122219,1.7602535163003783,70.50867455172441,5.42532130833011,0.5733628086570884,62.20029964511573,73.94957970323307,21.57779798956909,60.40133885996919,59.05261239210496,5,7468,0
M4,1161,79.84732817294474,2.148287772570381,88.9466170637263,3.4550626533232416,0.3519019787335683,52.15927843289975,80.72929614507346,18.361006632602844,60.044233036751706,56.074720534274846,7,9864,0
M2,1805,66.53643345009127,2.2315923976337926,70.48571228465896,4.46069498553673,0.6729648876982023,62.28606531846257,61.466005259608885,23.55733549659102,39.026888492984085,50.528851917620614,3,5934,0
M4,1468,68.56450167682539,2.0986461328156034,76.46045019183542,5.386382653848061,0.5302806095903465,58.033088511276716,79.65326667161126,32.57706907674105,37.018474738001,48.34110614113939,8,903,0
M5,1414,85.29960817581161,2.1556543367214425,91.16278565472552,5.837764221546589,0.5596903627962879,56.187910246985425,77.04336209854078,30.73243579366519,33.07934801335308,42.35704351870357,8,6819,0
M1,1297,71.65224667893459,2.84997868728819,86.32319125304842,4.320769346807045,0.3434802805162822,56.198181793919346,88.5204004481367,19.438362651647097,39.31797469667331,51.55269818957102,3,6185,0
M4,1169,70.96351536758003,2.535771576117443,84.00227594443103,2.085744010183059,0.641406471922157,58.03194208983495,65.82216987486382,19.161212920500397,25.93280567440442,44.423913860145404,9,9361,0
M2,1664,65.44877420650647,2.095317795632512,74.91316581094942,5.5232231857370335,0.9169425842462032,61.912166578462674,59.023890177242734,31.373419248397433,39.23760982679402,46.03432668193032,8,4282,0
M5,1514,79.23599065593461,2.4706552903837418,85.55091672903433,3.779679310056024,0.29841766091435873,53.439183994022414,66.38371890627454,19.321820476210853,54.96880273850856,44.04627099631664,1,9700,0
M4,1242,95.62524919243145,1.4837380482362303,78.14400979850365,2.9826612018775887,0.43204819847049525,58.01442334216073,84.35570993163623,27.54647661821004,33.889149375232826,47.69803833671672,8,364,0
M1,1240,64.32467085745728,2.1989635249734043,86.86708414888678,2.167674075015859,0.5463214948336184,59.79264111000426,51.71594119158037,21.919643923318382,37.59275696010949,49.86015292756509,4,3193,0
